2019-08-13 01:16:56 DEBUG PhoneNumberEncodingTask:34 - Successfully loaded the configuration properties from : application.properties
2019-08-13 01:16:56 DEBUG PhoneNumberEncodingTask:42 - Starting encoding of phone numbers
2019-08-13 01:16:56 DEBUG DictionaryFileService:29 - Fetching Dictionary Items from : dictionaries/dictionary.txt
2019-08-13 01:16:56 DEBUG DictionaryFileService:45 - Successfully loaded dictionaries to memory
2019-08-13 01:16:56 DEBUG ReadAndEncodePhoneNumber:37 - Fetching Input phone number Items from : inputPhoneNumbers/input.txt
2019-08-13 01:16:58 INFO  ReadAndEncodePhoneNumber:50 - 38-: so
2019-08-13 01:16:59 INFO  ReadAndEncodePhoneNumber:50 - -885/63538: Po Midas 8
2019-08-13 01:16:59 INFO  ReadAndEncodePhoneNumber:50 - -885/63538: O"l Midas 8
2019-08-13 01:16:59 INFO  ReadAndEncodePhoneNumber:50 - 468: Tip
2019-08-13 01:16:59 INFO  ReadAndEncodePhoneNumber:50 - -0338: es so
2019-08-13 01:17:00 INFO  ReadAndEncodePhoneNumber:50 - 7-5: um
2019-08-13 01:17:02 INFO  ReadAndEncodePhoneNumber:50 - /7-357653152/0677-: USA Bias ja Weib 7
2019-08-13 01:17:02 INFO  ReadAndEncodePhoneNumber:50 - /7-357653152/0677-: USA Bias ja Reck 7
2019-08-13 01:17:02 INFO  ReadAndEncodePhoneNumber:50 - 3/-6482482: dito 2 Tor
2019-08-13 01:17:03 INFO  ReadAndEncodePhoneNumber:50 - /8-: 8
2019-08-13 01:17:05 INFO  ReadAndEncodePhoneNumber:50 - 3-/0--69-4: sei 9 4
2019-08-13 01:17:05 INFO  ReadAndEncodePhoneNumber:50 - 7/: 7
2019-08-13 01:17:05 INFO  ReadAndEncodePhoneNumber:50 - --5-: 5
2019-08-13 01:17:05 INFO  ReadAndEncodePhoneNumber:50 - 877-: Pub
2019-08-13 01:17:05 INFO  ReadAndEncodePhoneNumber:50 - 877-: ok 7
2019-08-13 01:17:05 INFO  ReadAndEncodePhoneNumber:50 - 877-: ob 7
2019-08-13 01:17:07 INFO  ReadAndEncodePhoneNumber:50 - 3586-75: da Pik 5
2019-08-13 01:17:07 INFO  ReadAndEncodePhoneNumber:50 - 3586-75: Dali um
2019-08-13 01:17:09 INFO  ReadAndEncodePhoneNumber:50 - 87/03: ok es
2019-08-13 01:17:09 INFO  ReadAndEncodePhoneNumber:50 - 87/03: ob es
2019-08-13 01:17:09 INFO  ReadAndEncodePhoneNumber:50 - 2: 2
2019-08-13 01:17:10 INFO  ReadAndEncodePhoneNumber:50 - 10: je
2019-08-13 01:17:12 INFO  ReadAndEncodePhoneNumber:50 - 584/2: alt 2
2019-08-13 01:17:12 INFO  ReadAndEncodePhoneNumber:50 - 584/2: Alf 2
2019-08-13 01:17:12 INFO  ReadAndEncodePhoneNumber:50 - 45-69372376//8-926-5: Fach Dur Ski Ohr im
2019-08-13 01:17:12 INFO  ReadAndEncodePhoneNumber:50 - 45-69372376//8-926-5: Fach Dur Ski oh Wim
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem Zar Uhu Mut so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem Zar Uhu auf so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem gar Uhu Mut so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem Zar Uhu Abt so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem gar Uhu auf so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem gar Uhu Au Typ Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem Zar Uhu Au Typ Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem gar Uhu Abt so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem gar Uhu Akt so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /205952797574385/54/58-8691: wem Zar Uhu Akt so Amt Alp ihn
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - 1515-7--03: Jan Au es
2019-08-13 01:17:14 INFO  ReadAndEncodePhoneNumber:50 - /0: 0
2019-08-13 01:17:16 INFO  ReadAndEncodePhoneNumber:50 - 20///6458025/: weit Alex 5
2019-08-13 01:17:16 INFO  ReadAndEncodePhoneNumber:50 - 20///6458025/: reif Alex 5
2019-08-13 01:17:17 INFO  ReadAndEncodePhoneNumber:50 - -/1-72532602030/1-96--17657626: Jura Sri er Eden Zink im Kir 6
2019-08-13 01:17:17 INFO  ReadAndEncodePhoneNumber:50 - -/1-72532602030/1-96--17657626: Juras wie reden Zink im Kir 6
2019-08-13 01:17:17 INFO  ReadAndEncodePhoneNumber:50 - -/1-72532602030/1-96--17657626: Jux As wie Wesen Zink im Kir 6
2019-08-13 01:17:17 INFO  ReadAndEncodePhoneNumber:50 - -/1-72532602030/1-96--17657626: nur As wie Wesen Zink im Kir 6
